# op|a_le_hex|b_le_hex|expected_le_hex
frobenius2|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de490706a23d4e53157a55f5c3421941be2472530e93b32bef2f0b3457d5f8bb21f42a0309718f9c73cad93f2aa9591ad076cbcdf6b8d85f40650bb79c2db5c3f9c3189763d559489cb525d889834fdc7405f67406bcc81854d537e4e686e5389f20170db92dff620c42966822fa5d28d8712f530de2e3eeb8d98269d6fea56ca07014cb233a2c26d7a299d7cc6ae1fb0fb25fc9abe4a0f2074feff07b8ddfc54b7404e8ef6aac24a8a184e049f962aa53d6d0ef00203dccb0e7cdd14c2652593ecc19c1519e0841cb51b44948bb6ace59c573431a00c88657cfac1f7ca872dd0236044af0bdc8da03b2ae11dc40e40aa055972e6186be7b97511f99db566d1f07c61eac14bdb795649d4be9d0f4f0cbbc2771ab3a40ab10390fd24d789f809688f210d67ec499e704be9908275df5120c208cca785f887c48d13b3cf6ce7d792faf01
frobenius3|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd587632137a8a6b33c0536043c0f511f5f24df93909293c8a5da8dac91b04b72f8f6f1a2915c0b199448b1a4b289ac662b740c92b7c4057e003b4575dd1e82617bb7b4830d887497ca98b9d6466c90f7e78d0ae7212184ce9b59cff10e2e06a270bebd713ad537e0355542569cf4da4ed99fe82e1f9eea38290f4d0ee242c10a8b6c3070bc961ec870b7167ec77b167ea2ca3e909190c157d9f7a95d39b466f3f161bcc17ffa0d111f13cfc219bd8004f9734c818e68c926e87bb3c417f2828970719850502503a8f5ccd0938517d3940c4dd1d1d340838780e7daad2442f239c5c80691ce2123b682b3e51d3ee7f1d2d37cdcebcbae024a0d6af9b3d68b50e58f991dd1270681fe9495e72b1db486e31f0d00fdec84c069a2275c517bff319c3fb1b2b2ea4591b3b04490ea955b9c9974e1f8bf3a8c35bfda22d2412a6bd736e5081810ce2aa04913b4cc80c6819be55a73b3c9eb2e07e76a50f3d3b3fb876f4708d7b14
cyclotomic_square|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|6dc65fc383b509dec7de3a63347379b2896f27d715d8090b2febd3752891e82e63b6356e5df4e57c3290d8635af2ce65f076705687c9e73f58efbe1a8bfb4b2e6c214786095c299ef89fcbde209ddcb13d56ed74867e3b42a77e063ca30fb902a9bb6c6ce027456e1587a0fbdf975d17ae1b5c7e6f7f6e227ceb73159998ec2490769701380dfe8f3bb77e445a912cca8bfc61f81b77847eb06a9fa2c47105056e48a587dae549496ef5d6f702c63e3c9209ef2639d5999250a7a032eb42bb1f761572ba4e1fcf4fb93f80e31930ec5e9786a4dfec51dfe474db4e523178560d458baf72eb864ad36e1781ecf264ca24c331d83cd9702b8dee3bf67deaa2002e4c5157c7decb1295ff547b64d9582f182b2729f5c436bba0c4286f50a4ceed055a8682119cc66920248f81d524f0c80338b0425addafb9f54eea4b9845b631283ca8f680cca1aab002769848b272bfa85a78c750ce2f294ffedf4cde25d4a51f27a617a37d873e7ecd52c3eb2bc2a5e40a5aaa4557f118ef8886f7c10569361d
add|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|beb8751ef317ad559a00b597eea06b5def96f8ac61be91f8184780070b7b29300bf5449d89ca3e865117878c87b637ca9046ba8be0383013609cfb537da4011fcd32e6659982b5f2590f93d06cfa422be1bdbc56a81a456e3d4abc849734750c8beebeb745e7fd737cc28ce701ffc2d044d2a2d4fcc59b20b267fe492c1dd801f50cafbf7721146f94debc8bfb6345f60757e55c072613e4d02f64cdb6ca7d0f62bd9afd9776ee253de338481fb78f7c37c8ebe1e9e5507cfc4c48017f423905f9e8d684b6dc710c6deef38d5879c23dca9f982609d7aea21ae5fa6c44929b0e7c2f8b3eff42d01351729aa2141ed93178355c9f14378252f8e2b791e0387629961acf3c54d442663e4eef14463211a34ce21973f20741a5aa89b7c19f803b13e51263bb20f0a44a72255cdb090272a9b4926a54a6bfd94d601bb0c82f60af0724389a2e80aef55a637cf4496ad36666f033a96cda4a31a5be91479681d5710c015747f4381806fbfb357ef49e9cd314344c63d386256abe546703d0de352c0c|547097171c2362df55490f114597914478bce1e163c02afbb7fb7ff95ae69d151ffb0457d784d3f4241cb2689eec839a00873280903784796fb3cd0a7a26b816aded9d6b2b221f9423abf90a69c5044d2670f5ed8292c08f46b6dac5f122a127ec1c3e973050050f3abb4e06621fe48f4bb8f43193e3d2887095ba87a03c752db426b2ef1884360807d9d9bbd7ff1e6dd3bb14c97a9850a1126d7ea2e0eb5420811a0655c4df4a2c28e678448d2d5ee84297cf3cabffe32ebad4c11b96ac851efd82d75cbd5bfb3578c81756e9dc36aad17f003efce52a5f334326bb72bbfe2b0e4f5665c676d2227d990ce7f4f993756caea716f399dd5a458dc6fdbcbab50f55685828d363798fad641b4a9dc95475fe1e3e1d8587f16de158bc8c072ebf2d1352bd1f5ad58882329a40823022e6feacc5aacd5ff6787933bdeff38c94ab207b02495ea49d3e18e17493fe2d2ec0b208d532db55a1a4b278973edeecd906185704a086ad6f5d70c8da8f28ac637805bd14729a28a30cf197c7d2b927fe2a2d
sub|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|beb8751ef317ad559a00b597eea06b5def96f8ac61be91f8184780070b7b29300bf5449d89ca3e865117878c87b637ca9046ba8be0383013609cfb537da4011fcd32e6659982b5f2590f93d06cfa422be1bdbc56a81a456e3d4abc849734750c8beebeb745e7fd737cc28ce701ffc2d044d2a2d4fcc59b20b267fe492c1dd801f50cafbf7721146f94debc8bfb6345f60757e55c072613e4d02f64cdb6ca7d0f62bd9afd9776ee253de338481fb78f7c37c8ebe1e9e5507cfc4c48017f423905f9e8d684b6dc710c6deef38d5879c23dca9f982609d7aea21ae5fa6c44929b0e7c2f8b3eff42d01351729aa2141ed93178355c9f14378252f8e2b791e0387629961acf3c54d442663e4eef14463211a34ce21973f20741a5aa89b7c19f803b13e51263bb20f0a44a72255cdb090272a9b4926a54a6bfd94d601bb0c82f60af0724389a2e80aef55a637cf4496ad36666f033a96cda4a31a5be91479681d5710c015747f4381806fbfb357ef49e9cd314344c63d386256abe546703d0de352c0c|66f9a58b630b49ac3bdd88b28a2abdb8543ff38a0dcfa77ad9ade2ac2a8d1316500ef8f4da7b76240fb815b820ea959d3c523fea850b740bd91a0844f22b19091388d19ff81cb4ae6f8cd3698fd07ef663f47b40325d36b3cb2162bcc2b9b60ed63fc027a5810927413635375e215eeec113af8899579b470cc6bdf34702c529ca0c547029410e2ade1b60a4e0379480c30d4a0f6c4c2ad9700db60773565901bd9fd05994f26de0ad1f07b44ebf3eefd306f878d7334236c13a3119982713140bb1295350a2171d9eeb2f3a38eab12e3d40cff0e937cd19fe7830e1e996c70ea4ea3999f5087373f549bb72ee92e44037f4f1da36b77926a807ba9ce1e5911d2933baae2abbf3c230c83c201165322f655a0a37a0776f238c454d09c82c4807492cf7a818f53eed4d4f88cb1c1e02ac43a0d5241377c5dd72868f622dd44c117a8f91d9bacc739ea7461cd3eaf1737d85c56183575192202514e1925c7d872f5556119e3b3f517ad06e933f6e2ad1db547cabf31a583874eef8cb196a92d214
mul|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|beb8751ef317ad559a00b597eea06b5def96f8ac61be91f8184780070b7b29300bf5449d89ca3e865117878c87b637ca9046ba8be0383013609cfb537da4011fcd32e6659982b5f2590f93d06cfa422be1bdbc56a81a456e3d4abc849734750c8beebeb745e7fd737cc28ce701ffc2d044d2a2d4fcc59b20b267fe492c1dd801f50cafbf7721146f94debc8bfb6345f60757e55c072613e4d02f64cdb6ca7d0f62bd9afd9776ee253de338481fb78f7c37c8ebe1e9e5507cfc4c48017f423905f9e8d684b6dc710c6deef38d5879c23dca9f982609d7aea21ae5fa6c44929b0e7c2f8b3eff42d01351729aa2141ed93178355c9f14378252f8e2b791e0387629961acf3c54d442663e4eef14463211a34ce21973f20741a5aa89b7c19f803b13e51263bb20f0a44a72255cdb090272a9b4926a54a6bfd94d601bb0c82f60af0724389a2e80aef55a637cf4496ad36666f033a96cda4a31a5be91479681d5710c015747f4381806fbfb357ef49e9cd314344c63d386256abe546703d0de352c0c|61c760684dc6563c10b7cee95721ce8b796a01c1cb0027c6319e8d6233f41a035e088cc9351f4aa71f5f7a494cffc5e663109a0abe7cec657cb5a15672626e07c5b7d4a20342b335f325e127621209a70c0f1809e81a777995a49197d213bb29700c7ea4ca1ca98ad7eb62f9ff99792c1f5b2b6a57866651a361da00e752242aaeea7e9d45811b386282658c70e1854bc64fa3848e03a18eb13fd142449ce716cc9813fea02422eca98d643f9af9877338274256da69f9dbc77ea795bfe4a519bb09223356a950aaafd6f63f39cb1697d9ee1d42006f450bebd959bfbd982828ee8f52ecfd97c051febbfec12e83ac707c95f6b1311a19855abaad34050ce113109db90e448ae5aa32eb33e84bd86e5666e0cc0b47c73a48c3cf7e37012b7506697c7ad9d811d2127e2b796c8f8a4f36ec66ebb5d911b7beaba8935a2741a926c9deb8499c61555cea30ff479c98aa87e1cc76921a15e7f2133c587177eef90e76c4ff9a827a48a9e1c4c506febe0a234f16ac2af6484a10ad756cd4227df615
square|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|ac9a6abb4b43437a1dfe51326611ca6bc6060cc2312f2b8045d7f412cab4251810e08875df21a0607e5f2a45696809d48afa4da6025a593f9d42b1a445f3051c9252eddf267678550296f237ea9b183ba9864fdc63ec88b9d8d60837e8e1b91c7cc8bf2d693292577e2aee7666e4dd32842b6d3501aa704127ac47658a6583244d2ad4ec7d09641ef3a514baae45e1759406864fd99170719506c2f5372f231abe7da10ad78db086beaedfdd0bdcc25f83b8509c2f5a28be593eb6a8bb37d5211d2322376974dec0752ff23857ad3e6b3ddc34458d0b5dcc6330fd3daf4fbd17ee1a84a202f1bc6d9ec17c21e3c91ecb229b045c6573e7bb897f2157ffeb9406250cfba9db08cd9d973147f4e2bb4fd5e9a7ac8f99079fb508ac6ae8ac6c1616ab70f6209ac8924eaa6263471948bcaae0aa479770d9b0f0d746cf875cb0bf1a8dab45cfd9db232730fbe25216fea9346424727b1887fbf3c0c7ebeb4c08f9002a9640203021d6463ff26fddc7aeff3f8e258f50dcf44e2f892daf8284af670f
inv|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|54330edb3701b8fd8403db1115d2dad8e24f328c51d71ec56203cfd213bdaf0ff80cfec76e7a377522f1873920449ac6ae4cbd501a23abbe27cf39a4add38f239998c8a89564cf07e7de15caff551dbefe546a94fdc2fe169dc9e512bf36bf1e14a15b0775417f648b80be9274ac1b381a8eb225f3328f4d14a38617e0150811ca0f4163384145b8fc2de2326a6cf0dff7f6eccc7fe3c9eab59a8720d8ea1f28744697e73d71d11634e941a9b8b1400baf2669d09ce0f765f76acc3e8679bc0496e78fec66a106bdafa425dd5c0a77959ecc8b7ab05ecb18391888aabc86990dfbdac25df75e2e0f138d64da5c9e0e02f49a1100cb53ebf2e3ff7a4c373fce2dc88a57bc995e51a35206150be222e655c77b4e06ed3b375786e2719af5af1a18cc89329936cb464674ed8e68b7a72688db6fc357be77d62251d72552f4f5e805f6213cb030b78e2ccdefa9f168067d6bf8352a98cfd8c12cf4b338294fceef2e07a8de59e895ab677dfef15ed4577459841230a4bd92012a8386fd22b1b05023
conjugate|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c1943637c00100d971282f04da000070d2b5678196ac336d4fb10420693442501136ee034d938ccfdf0d3d88dbb1f2445bc0b87b488219da4f7b255f193237ec01988aff3ec97fce9121eb445333ad33dc5ab1b5dd723c69feff2d02c160ba1e01519be2274dda63c04cd558dc16a4a0d4265254108fd0eb18c56fef1b5151a6817f032cea8f29cd77e0fd2d2b3cd0f284b45b7f7123befdcaa6f9a3a99074acf24f14f2446a234c9c6c025603484a3dca6d48f72ba14c8ad85e63f62f72986650f
frobenius|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d815ecf93f46b2456b912cfbd423e9c9b32f90bf870b5001ac99f0e82d49037e4908fde1cb67578a794700fa77e71190a08a6af6915cca977ff94af008202099721e20d048d75f086fe6ef618279cae89f4a504a210920d1c5ecc91695e3ddcce502e8495931ff7210e54621bfc4e3aa2180d8bc802640efdc0dc3a893acf8c54d0d1a1845f19825e8af55db103edd4079bac805d4c2a355da3cf6af713e40c456104bb6cb774f97ea5745dda36769cbf9012093c921153b82e32fd5b7bd990ee30daea8beb7e217961099748efe526c5413fd9409443919768260c607db20a9c806bb1a47fbb3d2bac8c0f832a5400d42e6f0edf42dad3cd7cad4a96e2aee45400d984e4498d00436a063fc2527d990161fb1c33a598f8dba7ec223afe7ef11bf2fd4da6775a49b6830e5f1e0b05acbd8940bba0fe7fc11a683aec89d72c9405a23baab7791a9466c39f1457b15aacea30dd969bad84b7e285eb867302e763c8624
frobenius2|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28cf17bea28b8dc03137f8945f91c9d7d3fd4d0f9cf8d1f0589f788ce7ad28991d2e65b11a083d4c10ab7ad39f25e18e90804372181373d25a6fa6b03a99939515e295481b6f9536d6565fb388a4f882a9c8ff8d11f644d7024c3141e3467ea5253b1319baa26447026c27ebb4da38d0b2f8a7d5ad1c491813107070ea05bd01021d79bfed9b508155118ba3092ff6b70bf3da74ca76ee6ab304b6103e061db92b8d6c13197bbc80bc615cd73fd82458e2cfeca3e3456cde0353a3e7989803222388aff3ec97fce9121eb445333ad33dc5ab1b5dd723c69feff2d02c160ba1e01519be2274dda63c04cd558dc16a4a0d4265254108fd0eb18c56fef1b5151a6817a96a1556411118e670a8524079013acf007428289799543ebe646910fad4f71f796a702683b1f869ac88785da14ae5aaf543e9273604e021c66ac5dbafbd9423
frobenius3|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d815ecf93f46b2456b912cfbd423e9c9b32f90bf870b5001ac99f0e82d49037e49084086262505521b8b14930b45ff87ffe08b4e6cfdd548cde2aa5f966b59566d0633fc3675e5ceb8195a490792675ec9ac13434c4ffd63de974f9b3634379ec525fc2d7ec638871f14672c903c7482864a2c3c2a0074cca4e1a4f0f91478336409550310b81a9223227aaf91b3a1dd2d55015355b2ffbd56c3c2990047b0748c21d71633eecc6dcd23feff41dad899f2b9777bbb9025f8fa99dc7aa19f674e231df3db7a0300e242ac45331fd94a9fb0313ac9ea27fcfd2fa533571e4c029aac008ce235dd62b96573ccd13ec3505d3fb16c6a8c53090979ed54f6c2b684082423afae38404687ea9b29ce4b41b8d96a78ac94462827b89539677c82f9823ca500ec43caa3518491861e32a1cc2991137bcd5a567aee350d601bfb20d51e2a5928b179a0a3b32ed11dc3e56d532eb0865b39ce9ead3aaa1b6fdc1d3b63286c1a27
